"","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"1965",1,1,1,1,1,1,1,1,2,1,1,2,1,1
"1966",3,4,1,4,1,2,3,1,4,3,1,4,3,5
"1967",1,1,1,3,1,3,3,1,3,2,2,1,1,1
"1968",2,4,4,3,2,3,3,3,3,4,2,4,2,2
"1969",2,2,1,2,1,1,1,1,1,2,3,2,1,1
"1970",1,3,3,3,1,3,2,5,3,3,4,3,1,1
"1971",1,1,1,1,1,1,2,1,1,1,1,2,1,1
"1972",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1973",1,2,1,4,1,1,4,1,3,4,1,3,1,1
"1974",1,4,3,2,1,4,3,3,3,3,2,3,1,1
"1975",1,1,1,2,1,1,1,1,1,1,1,1,1,1
"1976",4,4,1,5,1,2,5,4,5,3,1,4,1,3
"1977",4,5,5,5,5,3,1,3,5,3,5,5,4,1
"1978",4,1,1,1,1,1,4,3,4,1,1,4,1,4
"1979",1,2,2,1,1,1,4,3,4,1,2,4,1,1
"1980",3,3,1,2,1,2,3,2,2,3,2,1,1,3
"1981",2,4,5,4,3,4,5,4,4,4,5,5,3,5
"1982",1,3,1,2,1,2,2,1,1,3,3,3,1,1
"1983",1,3,1,4,1,3,2,2,3,3,1,3,1,3
"1984",1,1,1,1,1,1,1,1,2,1,1,1,1,1
"1985",1,3,2,3,2,1,2,1,1,3,2,3,1,3
"1986",1,2,2,3,1,1,3,2,3,2,2,2,1,3
"1987",1,3,1,2,1,2,2,2,3,3,2,3,1,2
"1988",4,4,4,4,3,4,4,3,5,4,4,4,4,3
"1989",3,2,3,5,3,3,5,5,5,4,2,5,4,4
"1990",4,3,4,5,4,4,3,5,5,4,5,4,5,5
"1991",1,3,2,3,1,3,4,3,3,3,3,4,1,1
"1992",4,4,4,3,4,5,3,5,5,5,5,5,4,3
"1993",1,2,1,1,1,1,2,2,1,1,1,3,1,3
"1994",3,5,4,5,4,3,4,5,5,3,5,4,3,2
"1995",1,5,5,4,2,5,5,1,2,4,4,4,1,4
"1996",2,2,1,1,1,3,1,1,3,3,3,4,1,1
"1997",3,3,3,5,2,3,4,4,5,5,3,5,4,5
"1998",4,3,3,3,3,3,3,3,4,3,3,4,3,3
"1999",1,3,1,3,1,3,3,1,2,2,1,3,1,2
"2000",5,5,5,5,5,5,4,2,5,5,5,5,5,5
"2001",1,4,1,2,1,2,3,3,2,1,1,2,1,1
"2002",1,5,4,3,3,3,2,3,4,2,5,3,1,2
"2003",3,3,1,5,1,3,3,5,4,3,3,3,3,1
"2004",1,1,3,1,3,3,2,1,4,3,3,3,1,1
"2005",1,3,2,2,1,1,4,1,2,2,2,4,1,1
"2006",1,3,3,3,1,2,1,1,1,2,2,3,1,1
"2007",2,2,1,1,1,1,1,1,1,3,1,2,1,1
"2008",1,3,2,4,3,2,3,5,3,2,3,2,3,3
"2009",1,2,3,1,3,4,2,4,3,3,2,3,1,3
