"","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q76","Q77","Q78","Q79","Q80","Q81","Q82"
"101",1,3,1,3,1,3,3,1,3,3,1,2,1,3
"102",1,2,1,2,1,1,3,3,4,2,2,3,1,2
"103",1,3,1,2,1,3,1,2,1,3,1,3,1,3
"104",1,4,2,3,1,3,4,5,3,2,3,3,1,2
"105",2,5,2,5,1,1,2,1,2,3,4,4,4,5
"106",4,3,2,3,1,5,3,3,4,5,2,4,4,4
"107",1,3,2,1,1,1,1,1,2,2,2,2,1,1
"108",2,2,3,4,1,2,2,2,4,2,3,2,2,1
"109",1,3,1,1,1,3,3,3,1,1,2,3,1,1
"110",3,3,2,3,1,1,3,3,4,2,3,4,4,2
"111",3,1,1,4,1,5,3,1,4,1,1,2,2,1
"112",4,1,1,5,1,1,4,4,4,1,1,4,2,4
"113",3,2,1,2,1,1,2,3,4,2,1,3,3,3
"114",1,4,3,3,1,1,3,4,1,2,2,3,1,3
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",1,2,1,1,1,1,2,2,2,2,2,1,1,1
"117",1,3,2,3,1,3,3,4,2,3,4,2,1,3
"118",4,3,3,4,3,4,4,4,3,3,3,5,4,3
"119",4,2,2,2,3,2,1,4,3,4,2,3,1,1
"120",5,5,4,5,3,5,5,5,5,4,5,5,5,5
"121",1,3,2,4,1,2,3,3,2,3,2,3,1,2
"122",3,3,1,3,1,2,4,2,3,2,1,3,2,2
"123",3,5,1,2,1,5,3,1,3,5,1,5,1,5
"124",1,5,1,4,1,3,4,5,4,4,1,4,2,4
"125",1,3,1,4,1,1,1,1,1,1,3,3,1,2
"126",2,5,3,3,3,4,4,2,3,5,5,4,3,4
"127",2,2,2,2,1,2,3,2,2,3,2,3,2,2
"128",1,4,1,3,1,2,3,3,3,4,2,4,1,3
"129",1,3,3,3,2,3,4,5,5,3,3,4,1,1
"130",1,3,2,2,1,2,3,2,1,3,2,2,1,2
"131",4,4,1,5,2,1,3,3,3,3,3,5,4,3
"132",3,3,2,3,3,2,4,3,3,4,3,3,3,3
"133",1,1,1,5,1,1,4,2,5,1,1,3,1,1
"134",2,5,5,5,3,5,5,4,4,5,4,5,2,4
"135",1,2,1,1,1,2,2,1,1,1,2,1,1,1
"136",1,2,1,1,1,1,3,1,3,1,NA,2,1,1
"137",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"138",1,4,3,3,3,5,5,5,5,3,4,5,3,3
"139",2,4,4,5,3,3,5,4,4,4,4,4,1,3
"140",1,3,1,3,1,2,4,4,3,4,2,3,1,2
"141",1,3,1,1,1,1,1,1,2,2,1,2,1,2
"142",1,3,2,3,1,1,3,2,3,3,2,3,2,1
"143",1,3,3,1,2,4,1,3,2,4,1,3,1,1
"144",3,3,3,3,2,3,4,3,4,5,3,3,1,3
"145",4,5,4,5,3,5,3,5,5,5,5,4,3,3
"146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",3,3,1,3,1,3,4,1,4,2,1,4,3,1
"148",2,3,2,3,1,2,2,4,3,2,2,3,1,2
"149",3,4,4,5,2,3,3,5,4,2,4,3,2,3
"150",2,4,3,2,2,3,3,3,2,3,3,4,1,4
"151",2,5,1,5,1,3,4,4,5,4,3,4,3,4
"152",1,4,2,5,1,1,3,5,4,3,3,4,1,1
"153",3,4,4,5,3,3,3,5,5,4,4,4,3,3
"154",1,2,1,1,1,1,1,1,1,2,3,5,1,1
"155",3,4,4,4,3,4,4,5,3,4,2,3,3,4
"156",1,5,3,4,2,3,3,4,5,3,3,5,1,4
